"","A.t1_rep2","A.t2_rep2","A.t3_rep2","A.t4_rep2","A.t5_rep2","A.t6_rep2","B.t1_rep2","B.t2_rep2","B.t3_rep2","B.t4_rep2","B.t5_rep2","B.t6_rep2"
"YBR274W",6800,7385,6570,6920,6875,6855,5550,5555,5720,6940,5610,5205
"YBR275C",3885,4185,3435,3845,3290,3315,2275,1905,2120,2190,1660,1615
"YBR276C",9790,11260,10360,10080,9885,8485,8790,7775,7670,9230,7990,7395
"YBR277C",65,20,40,45,60,25,35,50,55,70,40,45
"YBR278W",740,1050,875,1080,1035,1010,805,595,775,820,565,830
"YBR279W",7575,8200,7620,8015,8270,7340,4810,5955,5860,5690,4380,5505
"YBR280C",7540,8025,8210,7530,7945,7280,8320,8820,9065,10960,9760,8010
"YBR281C",6905,7310,6610,6840,7220,6345,4680,4315,5045,5540,4430,4670
"YBR282W",3210,3660,2920,3325,3235,3100,3085,3600,3670,4285,2565,3310
"YBR283C",55075,60635,51135,55065,50970,50450,64690,61950,63775,64745,63595,52015
"YBR284W",1930,1820,2035,1895,2045,1665,1855,2185,2560,2515,1750,2065
"YBR285W",1385,1355,1345,1495,1595,1465,3775,3950,4165,4745,3590,4330
"YBR286W",159580,175300,149995,154315,156335,149150,208740,196635,209665,224700,199425,183970
"YBR287W",41120,40980,40700,37085,39115,34985,59420,63655,58845,64855,64975,47980
"YBR288C",4895,5175,4610,5085,5125,4905,4225,4390,4335,4715,3820,4240
"YBR289W",4035,4070,3885,4105,3450,3360,2580,2490,2545,3020,2065,2540
"YBR290W",9710,10610,9885,10400,11085,9270,7010,7495,8250,8545,6155,7660
"YBR291C",2915,3675,3510,4260,3955,4005,2705,2945,2885,3450,2570,3255
"YBR292C",165,215,225,200,205,160,125,225,165,210,165,170
"YBR293W",12390,13990,12545,12410,13290,11965,9450,10205,9890,11550,10120,9535
"YBR294W",6305,6050,5940,5620,5540,5925,4855,5075,4980,5820,4855,4595
"YBR295W",4225,4120,4000,3800,3600,3455,3370,3440,3440,3610,3135,3055
"YBR296C",2245,2580,1800,2085,2440,2080,9105,7805,9165,10450,9295,9655
"YBR296C-A",405,350,325,490,515,565,105,115,120,70,160,130
"YBR297W",9540,11525,9335,11160,10545,10415,9420,8270,10050,11240,8800,11175
"YBR298C",21905,23645,21650,22585,22700,21505,30715,33790,33285,37230,31065,28585
"YBR298C-A",200,245,215,230,210,210,195,155,150,145,110,160
"YBR299W",4965,5120,4340,4510,4910,4410,3870,3680,3860,4075,3270,3860
"YBR300C",130,150,150,110,160,135,110,75,55,45,65,70
"YBR301W",125,100,135,70,125,140,100,85,90,65,95,55
"YBR302C",24310,26820,23860,23930,24940,24460,20665,21460,21935,23450,22015,19005
"YNL339C",9690,9495,7880,8080,7925,7520,6995,7185,6460,7545,6810,5935
"YNL339W-B",70,10,50,45,25,50,40,35,20,10,-10,40
"YNL339W-A",10,85,5,40,30,35,40,35,40,35,0,45
"YNL338W",55,60,65,10,25,35,50,40,85,45,15,50
"YNL337W",20,35,15,45,-5,5,0,-5,65,50,30,20
"YNL336W",14300,16255,13200,15165,14980,14410,15420,15435,15580,17170,16055,14030
"YNL335W",940,1060,1190,990,1105,910,680,630,785,695,805,685
"YNL334C",1750,2270,2055,2225,2380,1790,1060,1035,835,1100,895,1005
"YNL333W",4025,4905,4465,4550,4570,4480,2145,2335,2215,2785,2215,1990
"YNL332W",1535,1675,1630,1640,1670,1705,380,385,365,555,325,345
"YNL331C",3530,3975,3830,3750,3745,3655,2950,3210,2895,3680,2965,3035
"YNL330C",14975,16440,14790,16605,16625,15610,11815,11085,12550,13640,11445,11625
"YNL329C",7300,7440,6520,6895,6580,6415,5820,5775,6255,6580,5865,5115
"YNL328C",1025,1375,1160,1040,1200,930,785,665,895,910,745,780
"YNL327W",27055,26545,23670,23110,24740,21765,54530,48010,49935,57060,50535,44070
"YNL326C",5020,6675,5095,6125,6420,5150,3615,3465,3735,3745,3535,3810
"YNL325C",2620,2735,2640,2755,2800,2410,2150,2005,1910,2265,1900,2015
"YNL324W",0,-10,40,85,85,20,65,50,35,20,40,40
"YNL323W",4470,5270,4430,4950,4480,4660,4525,4755,5145,5345,4450,4505
"YNL322C",18955,22175,18320,21480,19405,19900,12280,12570,13175,14470,12430,13360
"YNL321W",16025,15625,13610,14005,14430,12755,14245,13200,13410,13840,13790,12630
"YNL320W",10915,13315,10590,12095,12275,11455,8975,8750,8630,9465,8785,8385
"YNL319W",100,225,70,140,95,90,180,70,150,140,80,140
"YNL318C",30,90,90,80,35,65,40,55,25,60,55,60
"YNL317W",6295,5505,5825,6185,5770,5480,4735,4305,4250,5220,4175,4440
"YNL316C",3760,4255,3895,3515,4160,4150,2620,2450,2430,2890,2730,2760
"YNL315C",10035,11635,10720,10695,10380,10660,10140,9885,10905,11470,8660,9795
"YNL314W",3325,3530,3200,3365,3775,3325,2090,2505,1815,2530,2145,1995
"YNL313C",3565,3425,3005,3160,3375,3435,1460,1385,1490,1785,1530,1345
"YNL312W",8680,10485,9435,10780,9665,10285,8550,7200,7910,8890,7670,7310
"YNL311C",4240,4895,4125,4210,4315,3960,2400,2390,1960,2770,2180,1985
"YNL310C",4475,5235,4750,4785,5590,5095,2885,3305,3255,3280,2650,3215
"YNL309W",3110,3570,3170,3575,3785,3185,1610,1515,1535,1495,1890,1470
"YNL308C",3480,3440,3690,3545,3015,2900,2470,3035,2445,3125,2100,2200
"YNL307C",32480,36105,27775,30750,30760,26570,31495,29930,31955,33435,31030,27265
